,ent,type
647,adapt and to learn,S_SKILL
648,Work well,S_SKILL
649,attention to detail,S_SKILL
650,Enjoy working in a process,S_SKILL
651,building relationships,S_SKILL
652,communicate,S_SKILL
653,Java,LANG_FRAM
654,passion,S_SKILL
655,collaborate,S_SKILL
656,business analysis,H_SKILL
657,systems analysis,H_SKILL
658,project management,S_SKILL
659,deploying,H_SKILL
660,2:1,REQUIREMENT
661,degree,REQUIREMENT
662,Degree,REQUIREMENT
663,Scottish,REQUIREMENT
664,degree,REQUIREMENT
665,experience a unique working environment,H_SKILL
666,teamwork,S_SKILL
667,cloud,LANG_FRAM
668,Office,REQUIREMENT
669,SharePoint,LANG_FRAM
670,Power Platform,LANG_FRAM
671,Microsoft Teams,LANG_FRAM
672,Power Apps and Power Automate,LANG_FRAM
673,Design and test Power,H_SKILL
674,"Power Apps, and Power Automate",LANG_FRAM
675,Power Platform,LANG_FRAM
676,Bachelor's degree,REQUIREMENT
677,2.1,REQUIREMENT
678,leadership,S_SKILL
679,collaborate,S_SKILL
680,communication skills,S_SKILL
681,Creating and implementing the mathematical models and strategies,H_SKILL
682,PnL,LANG_FRAM
683,VaR,LANG_FRAM
684,Stressed,LANG_FRAM
685,VaR,LANG_FRAM
686,Masters,REQUIREMENT
687,PhD,REQUIREMENT
688,programming skills,H_SKILL
689,C++,LANG_FRAM
690,Python,LANG_FRAM
691,Java,LANG_FRAM
692,R,LANG_FRAM
693,"Interest in financial markets, economics and quantitative",H_SKILL
694,relishes a challenge,S_SKILL
695,Master’s,REQUIREMENT
696,2:1,REQUIREMENT
697,degree,REQUIREMENT
698,work experience so make sure you tell us,S_SKILL
699,solving skills,S_SKILL
700,respectively,LANG_FRAM
701,time data analytics,S_SKILL
702,Linux,LANG_FRAM
703,performance,H_SKILL
704,developing management tools,H_SKILL
705,Deployment automation,H_SKILL
706,build and maintain systems,H_SKILL
707,Bachelor's degree,REQUIREMENT
708,managing/troubleshooting,H_SKILL
709,Linux,LANG_FRAM
710,Linux,LANG_FRAM
711,DevOps,H_SKILL
712,OCaml,LANG_FRAM
713,OCaml,LANG_FRAM
714,analyse,H_SKILL
715,deconstruct technical problems,H_SKILL
716,Knowledgeable about operating system fundamentals,H_SKILL
717,Linux,LANG_FRAM
718,Unix,LANG_FRAM
719,shell,LANG_FRAM
720,Linux,LANG_FRAM
721,C,LANG_FRAM
722,DTrace,LANG_FRAM
723,providing system demonstrations,H_SKILL
724,prospective clients,S_SKILL
725,presenting,S_SKILL
726,analysis,H_SKILL
727,communication skills,S_SKILL
728,think,S_SKILL
729,licence,REQUIREMENT
730,C,REQUIREMENT
731,GCSE,REQUIREMENT
732,degree,REQUIREMENT
733,Bengali,LANG_FRAM
734,presenting,S_SKILL
735,Bengali,LANG_FRAM
736,analysis,H_SKILL
737,communication skills,S_SKILL
738,think,S_SKILL
739,licence,REQUIREMENT
740,C,REQUIREMENT
741,GCSE,REQUIREMENT
742,Bengali,REQUIREMENT
743,2:1,REQUIREMENT
744,degree,REQUIREMENT
745,providing system demonstrations,H_SKILL
746,prospective clients,S_SKILL
747,presenting,S_SKILL
748,analysis,H_SKILL
749,communication skills,S_SKILL
750,think,S_SKILL
751,licence,REQUIREMENT
752,C,REQUIREMENT
753,GCSE,REQUIREMENT
754,degree,REQUIREMENT
